sample_number,date_time,pressure,date_time,pressure,temperature
90,1/13/2018 11:15,765.1,1/13/2018 11:15,929.31,14.038
91,1/13/2018 11:30,764.88,1/13/2018 11:30,929.18,14.038
92,1/13/2018 11:45,764.7,1/13/2018 11:45,928.82,14.038
93,1/13/2018 12:00,764.43,1/13/2018 12:00,928.57,14.038
94,1/13/2018 12:15,764.03,1/13/2018 12:15,928.32,14.038
95,1/13/2018 12:30,763.84,1/13/2018 12:30,927.95,14.038
96,1/13/2018 12:45,763.84,1/13/2018 12:45,927.82,14.038
97,1/13/2018 13:00,763.68,1/13/2018 13:00,927.7,14.038
98,1/13/2018 13:15,763.65,1/13/2018 13:15,927.57,14.038
99,1/13/2018 13:30,763.7,1/13/2018 13:30,927.57,14.038
100,1/13/2018 13:45,763.71,1/13/2018 13:45,927.57,14.038
101,1/13/2018 14:00,763.68,1/13/2018 14:00,927.45,14.038
102,1/13/2018 14:15,763.64,1/13/2018 14:15,927.32,14.038
103,1/13/2018 14:30,763.56,1/13/2018 14:30,927.32,14.038
104,1/13/2018 14:45,763.29,1/13/2018 14:45,927.2,14.038
105,1/13/2018 15:00,763.38,1/13/2018 15:00,927.32,14.038
106,1/13/2018 15:15,763.26,1/13/2018 15:15,927.45,14.038
107,1/13/2018 15:30,763.3,1/13/2018 15:30,927.32,14.038
108,1/13/2018 15:45,763.3,1/13/2018 15:45,927.32,14.038
109,1/13/2018 16:00,763.31,1/13/2018 16:00,927.32,14.038
110,1/13/2018 16:15,763.32,1/13/2018 16:15,927.08,14.038
111,1/13/2018 16:30,763.01,1/13/2018 16:30,927.2,14.038
112,1/13/2018 16:45,762.81,1/13/2018 16:45,927.11,14.134
113,1/13/2018 17:00,762.73,1/13/2018 17:00,927.24,14.134
114,1/13/2018 17:15,762.78,1/13/2018 17:15,927.32,14.038
115,1/13/2018 17:30,762.73,1/13/2018 17:30,927.45,14.038
116,1/13/2018 17:45,762.95,1/13/2018 17:45,927.57,14.038
117,1/13/2018 18:00,762.95,1/13/2018 18:00,927.7,14.038
118,1/13/2018 18:15,762.89,1/13/2018 18:15,927.57,14.038
119,1/13/2018 18:30,762.84,1/13/2018 18:30,927.49,14.134
120,1/13/2018 18:45,763.02,1/13/2018 18:45,927.61,14.134
121,1/13/2018 19:00,763.08,1/13/2018 19:00,927.82,14.038
122,1/13/2018 19:15,763.14,1/13/2018 19:15,927.95,14.038
123,1/13/2018 19:30,763.45,1/13/2018 19:30,928.07,14.038
124,1/13/2018 19:45,763.46,1/13/2018 19:45,928.19,14.038
125,1/13/2018 20:00,763.41,1/13/2018 20:00,928.19,14.038
126,1/13/2018 20:15,763.54,1/13/2018 20:15,928.32,14.038
127,1/13/2018 20:30,763.61,1/13/2018 20:30,928.32,14.038
128,1/13/2018 20:45,763.44,1/13/2018 20:45,928.32,14.038
129,1/13/2018 21:00,763.62,1/13/2018 21:00,928.32,14.038
130,1/13/2018 21:15,763.56,1/13/2018 21:15,928.44,14.038
131,1/13/2018 21:30,763.57,1/13/2018 21:30,928.48,14.134
132,1/13/2018 21:45,763.64,1/13/2018 21:45,928.48,14.134
133,1/13/2018 22:00,763.77,1/13/2018 22:00,928.61,14.134
134,1/13/2018 22:15,763.71,1/13/2018 22:15,928.69,14.038
135,1/13/2018 22:30,763.71,1/13/2018 22:30,928.57,14.038
136,1/13/2018 22:45,763.65,1/13/2018 22:45,928.44,14.038
137,1/13/2018 23:00,763.6,1/13/2018 23:00,928.57,14.038
138,1/13/2018 23:15,763.6,1/13/2018 23:15,928.57,14.038
139,1/13/2018 23:30,763.66,1/13/2018 23:30,928.57,14.038
140,1/13/2018 23:45,763.66,1/13/2018 23:45,928.69,14.038
141,1/14/2018 0:00,763.78,1/14/2018 0:00,928.69,14.038
142,1/14/2018 0:15,763.6,1/14/2018 0:15,928.61,14.134
143,1/14/2018 0:30,763.37,1/14/2018 0:30,928.48,14.134
144,1/14/2018 0:45,763.31,1/14/2018 0:45,928.23,14.134
145,1/14/2018 1:00,763.19,1/14/2018 1:00,928.11,14.134
146,1/14/2018 1:15,763.01,1/14/2018 1:15,928.07,14.038
147,1/14/2018 1:30,763.18,1/14/2018 1:30,928.19,14.038
148,1/14/2018 1:45,763.12,1/14/2018 1:45,928.11,14.134
149,1/14/2018 2:00,763.18,1/14/2018 2:00,928.23,14.134
150,1/14/2018 2:15,763.3,1/14/2018 2:15,928.23,14.134
151,1/14/2018 2:30,763.23,1/14/2018 2:30,928.36,14.134
152,1/14/2018 2:45,763.23,1/14/2018 2:45,928.23,14.134
153,1/14/2018 3:00,763.29,1/14/2018 3:00,928.23,14.134
154,1/14/2018 3:15,763.17,1/14/2018 3:15,928.23,14.134
155,1/14/2018 3:30,763.05,1/14/2018 3:30,928.23,14.134
156,1/14/2018 3:45,762.99,1/14/2018 3:45,927.95,14.038
157,1/14/2018 4:00,763.11,1/14/2018 4:00,928.07,14.038
158,1/14/2018 4:15,762.99,1/14/2018 4:15,927.95,14.038
159,1/14/2018 4:30,762.94,1/14/2018 4:30,928.07,14.038
160,1/14/2018 4:45,762.88,1/14/2018 4:45,927.98,14.134
161,1/14/2018 5:00,762.99,1/14/2018 5:00,927.86,14.134
162,1/14/2018 5:15,762.82,1/14/2018 5:15,927.98,14.134
163,1/14/2018 5:30,762.75,1/14/2018 5:30,927.82,14.038
164,1/14/2018 5:45,762.93,1/14/2018 5:45,927.98,14.134
165,1/14/2018 6:00,762.82,1/14/2018 6:00,927.98,14.134
166,1/14/2018 6:15,762.99,1/14/2018 6:15,928.11,14.134
167,1/14/2018 6:30,763.29,1/14/2018 6:30,928.23,14.134
168,1/14/2018 6:45,763.29,1/14/2018 6:45,928.23,14.134
169,1/14/2018 7:00,763.23,1/14/2018 7:00,928.19,14.038
170,1/14/2018 7:15,763.23,1/14/2018 7:15,928.19,14.038
171,1/14/2018 7:30,763.29,1/14/2018 7:30,928.36,14.134
172,1/14/2018 7:45,763.35,1/14/2018 7:45,928.32,14.038
173,1/14/2018 8:00,763.35,1/14/2018 8:00,928.36,14.134
174,1/14/2018 8:15,763.54,1/14/2018 8:15,928.48,14.134
175,1/14/2018 8:30,763.83,1/14/2018 8:30,928.57,14.038
176,1/14/2018 8:45,764.19,1/14/2018 8:45,928.97,14.134
177,1/14/2018 9:00,764.43,1/14/2018 9:00,929.23,14.134
178,1/14/2018 9:15,764.58,1/14/2018 9:15,929.35,14.134
179,1/14/2018 9:30,765.09,1/14/2018 9:30,929.6,14.134
180,1/14/2018 9:45,764.97,1/14/2018 9:45,929.6,14.134
181,1/14/2018 10:00,765.18,1/14/2018 10:00,929.6,14.134
182,1/14/2018 10:15,765.2,1/14/2018 10:15,929.72,14.134
183,1/14/2018 10:30,765.39,1/14/2018 10:30,929.72,14.134
184,1/14/2018 10:45,765.33,1/14/2018 10:45,929.6,14.134
185,1/14/2018 11:00,765.26,1/14/2018 11:00,929.48,14.134
186,1/14/2018 11:15,765.05,1/14/2018 11:15,929.23,14.134
187,1/14/2018 11:30,764.86,1/14/2018 11:30,928.97,14.134
188,1/14/2018 11:45,764.63,1/14/2018 11:45,928.61,14.134
189,1/14/2018 12:00,764.37,1/14/2018 12:00,928.48,14.134
190,1/14/2018 12:15,764.31,1/14/2018 12:15,928.48,14.134
191,1/14/2018 12:30,764.24,1/14/2018 12:30,928.23,14.134
192,1/14/2018 12:45,764.12,1/14/2018 12:45,928.11,14.134
193,1/14/2018 13:00,764.42,1/14/2018 13:00,928.11,14.134
194,1/14/2018 13:15,764.28,1/14/2018 13:15,928.11,14.134
195,1/14/2018 13:30,764.25,1/14/2018 13:30,927.74,14.134
196,1/14/2018 13:45,764.07,1/14/2018 13:45,927.36,14.134
197,1/14/2018 14:00,764.02,1/14/2018 14:00,927.4,14.23
198,1/14/2018 14:15,763.89,1/14/2018 14:15,927.15,14.23
199,1/14/2018 14:30,763.71,1/14/2018 14:30,927.24,14.134
200,1/14/2018 14:45,763.55,1/14/2018 14:45,927.2,14.038
201,1/14/2018 15:00,763.56,1/14/2018 15:00,927.57,14.038
202,1/14/2018 15:15,763.71,1/14/2018 15:15,927.61,14.134
203,1/14/2018 15:30,763.63,1/14/2018 15:30,927.9,14.23
204,1/14/2018 15:45,763.97,1/14/2018 15:45,927.98,14.134
205,1/14/2018 16:00,764.15,1/14/2018 16:00,928.11,14.134
206,1/14/2018 16:15,763.6,1/14/2018 16:15,927.86,14.134
207,1/14/2018 16:30,763.17,1/14/2018 16:30,927.49,14.134
208,1/14/2018 16:45,762.8,1/14/2018 16:45,927.24,14.134
209,1/14/2018 17:00,762.73,1/14/2018 17:00,927.15,14.23
210,1/14/2018 17:15,762.72,1/14/2018 17:15,927.24,14.134
211,1/14/2018 17:30,762.51,1/14/2018 17:30,927.24,14.134
212,1/14/2018 17:45,762.61,1/14/2018 17:45,927.45,14.038
213,1/14/2018 18:00,762.69,1/14/2018 18:00,927.49,14.134
214,1/14/2018 18:15,762.95,1/14/2018 18:15,927.74,14.134
215,1/14/2018 18:30,763.01,1/14/2018 18:30,927.9,14.23
216,1/14/2018 18:45,762.89,1/14/2018 18:45,927.65,14.23
217,1/14/2018 19:00,762.94,1/14/2018 19:00,927.65,14.23
218,1/14/2018 19:15,762.82,1/14/2018 19:15,927.65,14.23
219,1/14/2018 19:30,763.01,1/14/2018 19:30,927.86,14.134
220,1/14/2018 19:45,763.07,1/14/2018 19:45,927.86,14.134
221,1/14/2018 20:00,763.19,1/14/2018 20:00,928.11,14.134
222,1/14/2018 20:15,763.32,1/14/2018 20:15,928.11,14.134
223,1/14/2018 20:30,763.38,1/14/2018 20:30,928.11,14.134
224,1/14/2018 20:45,763.35,1/14/2018 20:45,928.23,14.134
225,1/14/2018 21:00,763.41,1/14/2018 21:00,928.23,14.134
226,1/14/2018 21:15,763.41,1/14/2018 21:15,928.36,14.134
227,1/14/2018 21:30,763.35,1/14/2018 21:30,928.23,14.134
228,1/14/2018 21:45,763.53,1/14/2018 21:45,928.4,14.23
229,1/14/2018 22:00,763.47,1/14/2018 22:00,928.36,14.134
230,1/14/2018 22:15,763.47,1/14/2018 22:15,928.23,14.134
231,1/14/2018 22:30,763.47,1/14/2018 22:30,928.23,14.134
232,1/14/2018 22:45,763.3,1/14/2018 22:45,928.23,14.134
233,1/14/2018 23:00,763.48,1/14/2018 23:00,928.23,14.134
234,1/14/2018 23:15,763.48,1/14/2018 23:15,928.23,14.134
235,1/14/2018 23:30,763.48,1/14/2018 23:30,928.36,14.134
236,1/14/2018 23:45,763.54,1/14/2018 23:45,928.48,14.134
237,1/15/2018 0:00,763.25,1/15/2018 0:00,928.11,14.134
238,1/15/2018 0:15,763.54,1/15/2018 0:15,928.36,14.134
239,1/15/2018 0:30,763.31,1/15/2018 0:30,928.11,14.134
240,1/15/2018 0:45,763.37,1/15/2018 0:45,928.11,14.134
241,1/15/2018 1:00,763.19,1/15/2018 1:00,928.11,14.134
242,1/15/2018 1:15,762.84,1/15/2018 1:15,927.74,14.134
243,1/15/2018 1:30,763.01,1/15/2018 1:30,927.98,14.134
244,1/15/2018 1:45,763.24,1/15/2018 1:45,928.11,14.134
245,1/15/2018 2:00,763.18,1/15/2018 2:00,928.15,14.23
246,1/15/2018 2:15,763.18,1/15/2018 2:15,928.15,14.23
247,1/15/2018 2:30,763.18,1/15/2018 2:30,928.02,14.23
248,1/15/2018 2:45,763.12,1/15/2018 2:45,928.15,14.23
249,1/15/2018 3:00,763.06,1/15/2018 3:00,928.15,14.23
250,1/15/2018 3:15,763.11,1/15/2018 3:15,927.98,14.134
251,1/15/2018 3:30,762.99,1/15/2018 3:30,927.98,14.134
252,1/15/2018 3:45,762.81,1/15/2018 3:45,927.74,14.134
253,1/15/2018 4:00,762.75,1/15/2018 4:00,927.74,14.134
254,1/15/2018 4:15,762.75,1/15/2018 4:15,927.74,14.134
255,1/15/2018 4:30,762.74,1/15/2018 4:30,927.74,14.134
256,1/15/2018 4:45,762.67,1/15/2018 4:45,927.61,14.134
257,1/15/2018 5:00,762.61,1/15/2018 5:00,927.61,14.134
258,1/15/2018 5:15,762.61,1/15/2018 5:15,927.61,14.134
259,1/15/2018 5:30,762.79,1/15/2018 5:30,927.77,14.23
260,1/15/2018 5:45,762.9,1/15/2018 5:45,928.02,14.23
261,1/15/2018 6:00,762.84,1/15/2018 6:00,927.9,14.23
262,1/15/2018 6:15,762.84,1/15/2018 6:15,928.02,14.23
263,1/15/2018 6:30,763.31,1/15/2018 6:30,928.36,14.134
264,1/15/2018 6:45,763.43,1/15/2018 6:45,928.23,14.134
265,1/15/2018 7:00,763.37,1/15/2018 7:00,928.23,14.134
266,1/15/2018 7:15,763.56,1/15/2018 7:15,928.48,14.134
267,1/15/2018 7:30,763.68,1/15/2018 7:30,928.61,14.134
268,1/15/2018 7:45,763.69,1/15/2018 7:45,928.64,14.23
269,1/15/2018 8:00,763.65,1/15/2018 8:00,928.36,14.134
270,1/15/2018 8:15,763.77,1/15/2018 8:15,928.36,14.134
271,1/15/2018 8:30,764.07,1/15/2018 8:30,928.73,14.134
272,1/15/2018 8:45,764.43,1/15/2018 8:45,928.97,14.134
273,1/15/2018 9:00,764.7,1/15/2018 9:00,929.23,14.134
274,1/15/2018 9:15,764.79,1/15/2018 9:15,929.39,14.23
275,1/15/2018 9:30,764.97,1/15/2018 9:30,929.14,14.23
276,1/15/2018 9:45,764.79,1/15/2018 9:45,929.14,14.23
277,1/15/2018 10:00,764.67,1/15/2018 10:00,929.02,14.23
278,1/15/2018 10:15,764.66,1/15/2018 10:15,928.89,14.23
279,1/15/2018 10:30,764.96,1/15/2018 10:30,929.14,14.23
280,1/15/2018 10:45,764.85,1/15/2018 10:45,929.1,14.134
281,1/15/2018 11:00,764.97,1/15/2018 11:00,929.23,14.134
282,1/15/2018 11:15,764.86,1/15/2018 11:15,929.1,14.134
283,1/15/2018 11:30,764.74,1/15/2018 11:30,928.97,14.134
284,1/15/2018 11:45,764.49,1/15/2018 11:45,928.73,14.134
285,1/15/2018 12:00,764.47,1/15/2018 12:00,928.64,14.23
286,1/15/2018 12:15,764.28,1/15/2018 12:15,928.27,14.23
287,1/15/2018 12:30,764.11,1/15/2018 12:30,928.27,14.23
288,1/15/2018 12:45,763.88,1/15/2018 12:45,928.02,14.23
289,1/15/2018 13:00,763.74,1/15/2018 13:00,927.77,14.23
290,1/15/2018 13:15,763.5,1/15/2018 13:15,927.53,14.23
291,1/15/2018 13:30,763.61,1/15/2018 13:30,927.53,14.23
292,1/15/2018 13:45,763.53,1/15/2018 13:45,927.53,14.23
293,1/15/2018 14:00,763.64,1/15/2018 14:00,927.61,14.134
294,1/15/2018 14:15,763.46,1/15/2018 14:15,927.61,14.134
295,1/15/2018 14:30,763.77,1/15/2018 14:30,927.98,14.134
296,1/15/2018 14:45,763.76,1/15/2018 14:45,927.77,14.23
297,1/15/2018 15:00,763.86,1/15/2018 15:00,927.86,14.134
298,1/15/2018 15:15,763.5,1/15/2018 15:15,927.61,14.134
299,1/15/2018 15:30,763.33,1/15/2018 15:30,927.28,14.23
300,1/15/2018 15:45,763.09,1/15/2018 15:45,927.28,14.23
301,1/15/2018 16:00,762.87,1/15/2018 16:00,926.9,14.23
302,1/15/2018 16:15,762.76,1/15/2018 16:15,926.9,14.23
303,1/15/2018 16:30,762.89,1/15/2018 16:30,927.15,14.23
304,1/15/2018 16:45,762.84,1/15/2018 16:45,927.03,14.23
305,1/15/2018 17:00,762.9,1/15/2018 17:00,927.15,14.23
306,1/15/2018 17:15,762.95,1/15/2018 17:15,927.28,14.23
307,1/15/2018 17:30,763.02,1/15/2018 17:30,927.28,14.23
308,1/15/2018 17:45,762.78,1/15/2018 17:45,927.03,14.23
309,1/15/2018 18:00,762.66,1/15/2018 18:00,926.78,14.23
310,1/15/2018 18:15,762.72,1/15/2018 18:15,926.78,14.23
311,1/15/2018 18:30,762.78,1/15/2018 18:30,927.15,14.23
312,1/15/2018 18:45,762.98,1/15/2018 18:45,927.15,14.23
313,1/15/2018 19:00,763.22,1/15/2018 19:00,927.49,14.134
314,1/15/2018 19:15,763.39,1/15/2018 19:15,927.61,14.134
315,1/15/2018 19:30,763.85,1/15/2018 19:30,928.11,14.134
316,1/15/2018 19:45,764.25,1/15/2018 19:45,928.4,14.23
