state,state_FOODINSEC_13_15,state_FOODINSEC_10_12,state_LACCESS_POP15,state_LACCESS_LOWI15,state_PCT_FREE_LUNCH14,state_PCT_OBESE_ADULTS13,state_RECFACPTH14,state_FFRPTH14,state_FSRPTH14,state_PCT_NHWHITE10,state_PCT_NHBLACK10,state_PCT_HISP10,state_PCT_NHASIAN10,state_PCT_NHNA10,state_PCT_NHPI10,state_POVRATE15,state_GROCPTH14,state_CONVSPTH14,state_SNAPSPTH16
AL,17.6,17.9,7708.624531891792,2241.191144287724,43.15752713827587,31.36896551724138,0.04840470986206896,0.31691863137931037,0.7126797315517239,50.62206607934483,1.1314938092758617,3.704812071310344,4.799088071689654,32.30507192172413,0.4367005308620689,12.634482758620688,0.7299785448965517,0.32795707372413796,1.5075976969655172
AK,13.3,12.1,14371.804328404478,5651.09253988836,47.02823160268657,36.12835820895522,0.04767137008955224,0.583157218,0.48189866568656714,66.10186913656717,28.250668387880594,3.1902445324477613,0.5713049427910449,0.639321611358209,0.03201782695522388,22.00746268656717,0.18568177416417905,0.6934775565820894,1.092870915791045
AZ,19.2,19.7,7838.947588726667,3399.598631699333,58.24122049559998,35.89866666666667,0.043766931759999995,0.527302774586667,0.5612646668133334,76.99325899253333,15.771595692466665,4.563118488733332,0.6194338199999999,0.6014079686933334,0.05607564832000001,21.162666666666663,0.18544150083999997,0.5848941718666664,0.999303169693333
AR,14.9,14.9,83623.85343306667,32146.580382466665,18.238870388733332,28.773333333333333,0.04496584586666666,0.5309110786666665,0.7196362975333334,52.82517134466666,1.6467744975333334,29.706499174533334,1.1155699304000002,12.984621804200001,0.12257009233333334,20.52,0.15261435839999998,0.4570098035333333,0.7436348024666667
CA,12.6,15.6,74540.50872363274,21137.059262601728,41.64806898206896,24.13103448275862,0.0895592280862069,0.6469667232413793,0.8426035717758622,57.09550367810346,3.041598979344827,28.472368267827598,6.494957198137931,1.7271566431724137,0.25659954665517243,16.294827586206893,0.27053332974137934,0.34421599818965515,0.7527474700517243
CO,12.1,14.1,14762.883231471096,4292.254913324843,36.54552805001562,20.682812499999994,0.08192086523437499,0.68151936115625,1.7466650302499998,76.29776872640626,1.3997332035781251,18.91449071615625,1.0142622373593753,0.883125722796875,0.056524797515624996,14.36875,0.4128064938124999,0.62209184909375,0.7443503179062497
CT,13.1,13.4,129233.28321375,19404.683317500003,28.775386441249996,25.5875,0.128221136625,0.617772596,0.906118383625,78.59191201375,6.225752353000001,9.856644499249999,3.10873269125,0.2446999635,0.029265896,9.6125,0.19894692349999998,0.34496306612500005,0.65382608275
DE,13.2,12.0,12688.2801,4728.931789,90.17092433,22.4,0.133557345,1.273347873,1.2232638679999999,34.81070193,50.03182528,9.098704886,3.4597314710000004,0.219702421,0.035896916,17.7,0.300504027,0.280773965,0.61805423
DC,11.9,11.6,58462.08383333334,13991.578900333334,37.8448718,30.5,0.13150270666666666,0.6272054843333333,0.8656470913333333,67.48540995333333,19.617605936666667,7.690498736666666,2.425610826,0.405259885,0.031994315333333335,12.866666666666665,0.180435003,0.34649688566666664,0.8206117470000001
FL,12.7,14.8,59500.00317789046,20115.857235451047,52.04926981402986,29.81791044776119,0.06816571317910447,0.5120064595074626,0.6829044450298508,69.88910788552238,14.071482736462691,12.503869302313435,1.4027053948358208,0.4489671590746267,0.047303118537313435,18.397014925373128,0.17296583832835824,0.5378927115671639,0.9144076785522384
GA,14.9,16.9,14985.917307322563,5510.681723587671,65.70880076119501,31.39371069182389,0.044160637182389946,0.5713041047672954,0.5105904001886794,64.00194709484279,27.646966222465426,5.73816003592453,1.0360152840691828,0.23736581739622645,0.04301661361006289,21.91257861635221,0.19360929903144647,0.7772298906037738,1.1884370134213842
HI,9.7,14.0,72995.996358,18886.990028199998,34.637304192,21.9,0.052978920799999996,0.6667841734,0.8116061368,27.893203638,0.6559024344,8.069382833,26.0906768016,0.1951574244,17.5279128906,9.88,0.1973953738,0.2732288382,0.5557823936
ID,10.6,12.6,5719.0530883777765,1716.8925274432324,32.86754709878787,32.581818181818186,0.08884034449494951,0.4923912755050504,0.8283843739191918,93.0504912609091,1.0365296891717168,3.8414068211919203,0.8363007184747474,0.26448597955555553,0.044909828060606054,11.712121212121213,0.2606308958787879,0.6201608476060603,0.88712666460606
IL,13.8,14.3,7199.769909097729,2515.5368474284082,39.43632791613635,28.674999999999986,0.06963988513636363,0.5906362237045454,0.9819207721818181,84.36357767977272,0.3061758394318182,11.75047825343182,0.6267372723181818,1.3298211610681816,0.08571891856818184,15.152272727272733,0.2925523337045455,0.6124819812499998,0.7136922617954545
IN,11.1,13.0,22500.65774916079,5617.764591164806,47.649065563431364,29.966666666666658,0.08061461266666667,0.5315986671568628,0.7586902952843135,88.44097812529415,4.861488172892156,4.328725315490196,0.9891209615392151,0.18702674201960787,0.02147326355882353,13.687254901960788,0.2066716396764706,0.5114434673529411,0.8486469306764707
IA,14.8,13.5,15373.234221077731,4882.985619338924,38.6412162048913,32.36304347826086,0.07103039566304345,0.6111404917717393,0.632035840228261,91.92879603945651,2.488860634652174,3.4141837944021716,0.7694265634782609,0.22014656944565214,0.023255460195652177,12.959782608695662,0.16932746406521737,0.4359828083369565,0.7731977270108696
KS,14.6,14.4,6468.21453347333,2248.345209967048,39.293945246190475,32.43428571428572,0.055918667380952386,0.521011979495238,0.8858576916571433,86.66748601390476,1.7396967235809524,8.501824833466664,0.6734354716952381,0.7835704690761908,0.04213470242857144,12.696190476190484,0.3411601213142857,0.5553905843142856,0.8973292143333328
